Code,Airport Name,City,Country,Altitude,Lat,Long,Traffic Rank,Traffic
PHL,PHILADELPHIA INTERNATIONAL,PHILADELPHIA,USA,12,39.872,-75.241,69,29585754
DUB,DUBLIN,DUBLIN,IRELAND,74,53.421,-6.27,70,29582321
ZRH,ZURICH,ZURICH,SWITZERLAND,432,47.465,8.549,71,29396094
CPH,KASTRUP,COPENHAGEN,DENMARK,6,55.618,12.656,72,29177833
PMI,PALMA DE MALLORCA,PALMA DE MALLORCA,SPAIN,3,39.55,2.733,74,27970655
MAN,MANCHESTER,MANCHESTER,ENGLAND,79,53.354,-2.275,75,27901708
OSL,OSLO GARDERMOEN,OSLO,NORWAY,208,60.194,11.1,76,27482315
LIS,LISBOA,LISBON,PORTUGAL,114,38.781,-9.136,77,26669755
ARN,ARLANDA,STOCKHOLM,SWEDEN,38,59.652,17.919,78,26642034
BWI,BALTIMORE WASHINGTON INTERNATIONAL,BALTIMORE,USA,45,39.175,-76.668,79,26369411
AYT,ANTALYA,ANTALYA,TURKEY,54,36.901,30.792,80,25931659
STN,STANSTED,LONDON,ENGLAND,107,51.885,0.235,81,25904573
NKG,LU KOU AIRPORT,NANJING,CHINA,15,31.74,118.86,82,25822936
GMP,GIMPO,SEOUL,KOREA,18,37.558,126.791,83,25267408
BLR,BANGALORE,BANGALORE,INDIA,889,12.95,77.668,84,25047272
RUH,KING KHALED INTERNATIONAL,RIYADH,SAUDI ARABIA,625,24.957,46.699,85,25038000
BRU,BRUSSELS NATL,BRUSSELS,BELGIUM,57,50.902,4.499,86,24783911
DUS,DUSSELDORF,DUESSELDORF,GERMANY,45,51.289,6.767,87,24640564
XMN,GAOQI,XIAMEN,CHINA,18,24.544,118.127,88,24485239
VIE,SCHWECHAT,VIENNA,AUSTRIA,183,48.11,16.57,89,24392805
CGO,XINZHENG,ZHENGZHOU,CHINA,151,34.519,113.841,90,24299073
SLC,SALT LAKE CITY INTERNATIONAL,SALT LAKE CITY,USA,1289,40.788,-111.978,91,24198816
YVR,VANCOUVER INTERNATIONAL,VANCOUVER,CANADA,5,49.195,-123.182,92,24166122
DCA,RONALD REAGAN WASHINGTON NATIONAL,WASHINGTON,USA,5,38.852,-77.037,93,23928248
CSX,HUANGHUA,CHANGCHA,CHINA,67,28.189,113.219,94,23764820
AUH,ABU DHABI INTERNATIONAL,ABU DHABI,UNITED ARAB EMIRATES,27,24.433,54.651,95,23760561
CUN,CANCUN INTERNATIONAL,CANCUN,MEXICO,7,21.036,-86.877,96,23601509
FUK,FUKUOKA,FUKUOKA,JAPAN,10,33.586,130.45,97,23484678
TAO,LIUTING,QINGDAO,CHINA,10,36.263,120.375,98,23210530
BNE,BRISBANE INTERNATIONAL,BRISBANE,AUSTRALIA,4,-27.384,153.118,99,23205702
WUH,TIANHE,WUHAN,CHINA,36,30.784,114.208,100,23129400
HAN,NOIBAI INTERNATIONAL,HANOI,VIET NAM,12,21.222,105.806,101,23068227
CTS,CHITOSE INTERNATIONAL AIRPORT,SAPPORO,JAPAN,25,42.775,141.692,102,22916914
IAD,WASHINGTON DULLES INTERNATIONAL,WASHINGTON,USA,96,38.944,-77.456,103,22892504
DPS,BALI INTERNATIONAL,DENPASAR,INDONESIA,5,-8.748,115.167,104,22863647
MDW,CHICAGO MIDWAY INTERNATIONAL,CHICAGO,USA,189,41.786,-87.752,106,22460236
SCL,ARTURO MERINO BENITEZ INTERNATIONAL,SANTIAGO,CHILE,474,-33.393,-70.786,107,22316093
SAN,SAN DIEGO INTERNATIONAL LINDBERGH FLD,SAN DIEGO,USA,5,32.733,-117.189,108,22173493
MXP,MALPENSA,MILANO,ITALY,234,45.631,8.728,109,22169167
LIM,JORGE CHAVEZ INTERNATIONAL,LIMA,PERU,35,-12.022,-77.114,110,22046042
SUB,JUANDA,SURABAYA,INDONESIA,3,-7.38,112.787,111,21882335
CGH,CONGONHAS,SAO PAULO,BRAZIL,802,-23.627,-46.655,112,21859453
URC,DIWOPU,URUMQI,CHINA,649,43.907,87.474,114,21500901
JNB,JOHANNESBURG INTERNATIONAL,JOHANNESBURG,SOUTH AFRICA,1695,-26.139,28.246,115,21180060
TLV,BEN GURION,TEL-AVIV,ISRAEL,42,32.009,34.877,117,20781226
TSN,BINHAI,TIANJIN,CHINA,3,39.124,117.346,118,20711697
OKA,NAHA,NAHA,JAPAN,4,26.196,127.646,119,20569935
TXL,TEGEL,BERLIN,GERMANY,38,52.559,13.287,120,20460688
CCU,NETAJI SUBHASH CHANDRA BOSE INTERNATIONAL,CALCUTTA,INDIA,7,22.655,88.447,121,20167698
HNL,HONOLULU INTERNATIONAL,HONOLULU,USA,4,21.316,-157.927,122,19950125
TPA,TAMPA INTERNATIONAL,TAMPA,USA,8,27.975,-82.533,123,19624284
MAA,CHENNAI INTERNATIONAL,MADRAS,INDIA,17,12.994,80.18,124,19599438
PDX,PORTLAND INTERNATIONAL,PORTLAND,USA,10,45.589,-122.597,125,19080454
AKL,AUCKLAND INTERNATIONAL,AUCKLAND,NEW ZEALAND,8,-37.008,174.792,126,19020573
HEL,HELSINKI VANTAA,HELSINKI,FINLAND,55,60.32,24.956,127,18892386
HRB,TAIPING,HARBIN,CHINA,139,45.623,126.25,128,18810317
AGP,MALAGA,MALAGA,SPAIN,16,36.674,-4.499,129,18628876
YUL,MONTREAL INTERNATIONAL DORVAL,MONTREAL,CANADA,36,45.468,-73.741,130,18160223
VKO,VNUKOVO,MOSCOW,RUSSIA,210,55.591,37.261,131,18139000
HAM,HAMBURG,HAMBURG,GERMANY,17,53.63,9.988,133,17622997
DLC,ZHOUSHUIZI,DALIAN,CHINA,33,38.966,121.538,134,17503810
THR,MEHRABAD INTERNATIONAL,TEHERAN,IRAN,1208,35.689,51.313,135,17464216
GVA,GENEVA COINTRIN,GENEVA,SWITZERLAND,431,46.238,6.109,136,17351816
