Code,Airport Name,City,Country,Altitude,Lat,Long,Traffic Rank,Traffic
DLM,DALAMAN,DALAMAN,TURKEY,7,36.713,28.793,324,4377101
SJO,JUAN SANTAMARIA INTERNATIONAL,SAN JOSE,COSTA RICA,921,9.994,-84.209,325,4369333
HDY,HAT YAI INTERNATIONAL,SONGKHLA,THAILAND,28,6.933,100.393,326,4367364
RAK,MENARA,MARRAKECH,MOROCCO,468,31.607,-8.036,327,4359865
JAI,JAIPUR,JAIPUR,INDIA,385,26.824,75.81,328,4345927
YWG,WINNIPEG INTERNATIONAL,WINNIPEG,CANADA,239,49.91,-97.234,329,4305744
LKO,LUCKNOW,LUCKNOW,INDIA,123,26.761,80.886,330,4272024
SRG,ACHMAD YANI,SEMARANG,INDONESIA,4,-6.973,110.375,332,4224295
ONT,ONTARIO INTERNATIONAL,ONTARIO,USA,288,34.056,-117.601,333,4217366
NUE,NURNBERG,NUERNBERG,GERMANY,319,49.499,11.078,334,4186961
SVG,STAVANGER SOLA,STAVANGER,NORWAY,9,58.877,5.638,335,4177673
MUN,MATURIN,MATURIN,VENEZUELA,69,9.749,-63.152,336,4176556
CAG,ELMAS,CAGLIARI,ITALY,4,39.251,9.054,337,4157612
MSQ,MINSK 2,MINSK 2,RUSSIA,204,53.882,28.031,338,4114512
YHZ,HALIFAX INTERNATIONAL,HALIFAX,CANADA,146,44.881,-63.509,339,4083188
LBA,LEEDS BRADFORD,LEEDS,ENGLAND,208,53.866,-1.661,341,4074500
HRG,HURGHADA INTERNATIONAL,HURGHADA,EGYPT,16,27.184,33.798,342,4027291
TRV,THIRUVANANTHAPURAM INTERNATIONAL,TRIVANDRUM,INDIA,5,8.482,76.918,343,4018095
PVD,THEODORE FRANCIS GREEN STATE,PROVIDENCE,USA,17,41.724,-71.428,345,3937947
PDG,TABING,PADANG,INDONESIA,3,-0.876,100.352,346,3937251
KTW,PYRZOWICE,KATOWICE,POLAND,304,50.474,19.08,347,3892941
FLN,HERCILIO LUZ,FLORIANOPOLIS,BRAZIL,6,-27.672,-48.548,349,3843328
MIR,HABIB BOURGUIBA INTERNATIONAL,MONASTIR,TUNISIA,3,35.758,10.755,350,3831924
BDO,HUSEIN SASTRANEGARA,BANDUNG,INDONESIA,741,-6.901,107.576,352,3696175
MDC,SAM RATULANGI,MANADO,INDONESIA,83,1.549,124.926,354,3671997
BDJ,SYAMSUDIN NOOR,BANJARMASIN,INDONESIA,21,-3.442,114.761,355,3613473
MRU,SIR SEEWOOSAGUR RAMGOOLAM INTERNATIONAL,PLAISANCE,MAURITIUS,57,-20.43,57.683,356,3588777
TAE,DAEGU AB,TAEGU,KOREA,36,35.894,128.659,357,3560124
SYZ,SHIRAZ SHAHID DASTGHAIB INTERNATIONAL,SHIRAZ,IRAN,1500,29.539,52.589,360,3530525
KRR,PASHKOVSKY,KRASNODAR,RUSSIA,36,45.035,39.172,361,3498126
ABV,ABUJA NNAMDI AZIKIWE INTERNATIONAL,ABUJA,NIGERIA,343,9.007,7.263,362,3462830
PNK,SUPADIO,PONTIANAK,INDONESIA,4,-0.151,109.404,363,3447254
MAH,MENORCA,MENORCA,SPAIN,91,39.863,4.219,364,3434615
TZX,TRABZON,TRABZON,TURKEY,32,40.995,39.79,365,3361450
MKE,GENERAL MITCHELL INTERNATIONAL,MILWAUKEE,USA,221,42.947,-87.896,366,3350000
BEL,VAL DE CAES,BELEM,BRAZIL,17,-1.379,-48.476,367,3311817
KMJ,KUMAMOTO,KUMAMOTO,JAPAN,196,32.837,130.855,368,3241633
CUZ,VELAZCO ASTETE,CUZCO,PERU,3311,-13.536,-71.939,369,3209153
TBS,LOCHINI,TBILISI,GEORGIA,495,41.669,44.955,371,3164139
SDJ,SENDAI,SENDAI,JAPAN,5,38.139,140.917,372,3152569
JHB,SULTAN ISMAIL,JOHOR BAHRU,MALAYSIA,37,1.641,103.669,373,3124799
NGS,NAGASAKI,NAGASAKI,JAPAN,5,32.922,129.923,374,3110686
ZAG,ZAGREB,ZAGREB,CROATIA,107,45.743,16.069,375,3092047
KOA,KONA INTERNATIONAL AT KEAHOLE,KONA,USA,15,19.739,-156.046,376,3088641
GYN,SANTA GENOVEVA,GOIANIA,BRAZIL,747,-16.631,-49.222,377,3088274
VIX,GOIABEIRAS,VITORIA,BRAZIL,4,-20.256,-40.289,378,3021949
LUX,FINDEL INTERNATIONAL AIRPORT,LUXEMBURG,LUXEMBURG,377,49.626,6.211,379,3020000
CBR,CANBERRA,CANBERRA,AUSTRALIA,576,-35.308,149.194,381,2995470
SAL,EL SALVADOR INTERNATIONAL,SAN SALVADOR,EL SALVADOR,31,13.441,-89.056,382,2984764
KMI,MIYAZAKI,MIYAZAKI,JAPAN,7,31.877,131.448,383,2976563
AWZ,AHWAZ,AHWAZ,IRAN,20,31.337,48.762,384,2939958
KIH,KISH ISLAND,KISH ISLAND,IRAN,31,26.527,53.982,385,2926752
BBI,BHUBANESHWAR,BHUBANESWAR,INDIA,40,20.244,85.818,386,2907867
CCJ,CALICUT,CALICUT,INDIA,101,11.136,75.955,387,2886915
CGB,MARECHAL RONDON,CUIABA,BRAZIL,188,-15.653,-56.117,388,2882450
MYJ,MATSUYAMA,MATSUYAMA,JAPAN,8,33.827,132.7,390,2863239
LGB,LONG BEACH,LONG BEACH,USA,19,33.818,-118.151,391,2852294
LIH,LIHUE,LIHUE,USA,47,21.976,-159.339,392,2832281
SPU,SPLIT,SPLIT,CROATIA,25,43.539,16.298,393,2818176
UFA,UFA,UFA,RUSSIA,137,54.557,55.874,394,2814330
ELP,EL PASO INTERNATIONAL,EL PASO,USA,1207,31.807,-106.378,395,2807734
YTZ,CITY CENTRE,TORONTO,CANADA,77,43.627,-79.396,396,2800000
PAT,PATNA,PATINA,INDIA,52,25.591,85.088,398,2781276
LGK,LANGKAWI INTERNATIONAL,PULAU,MALAYSIA,9,6.33,99.729,399,2767707
ROV,ROSTOV NA DONU,ROSTOV,RUSSIA,86,47.258,39.818,400,2766000
COR,AMBROSIO L V TARAVELLA,CORDOBA,ARGENTINA,489,-31.324,-64.208,401,2762393
KLO,KALIBO,KALIBO,PHILIPPINES,13,11.681,122.378,404,2711036
HIJ,HIROSHIMA,HIROSHIMA,JAPAN,332,34.435,132.922,405,2669210
MAO,EDUARDO GOMES INTERNATIONAL,MANAUS,BRAZIL,81,-3.039,-60.05,407,2645205
SCQ,SANTIAGO,SANTIAGO,SPAIN,370,42.896,-8.415,408,2644925
KZN,KAZAN,KAZAN,RUSSIA,127,55.608,49.277,409,2623423
GUA,LA AURORA,GUATEMALA CITY,GUATEMALA,1510,14.583,-90.528,410,2579123
ACC,KOTOKA INTERNATIONAL,ACCRA,GHANA,63,5.603,-0.168,411,2547527
BRE,BREMEN,BREMEN,GERMANY,5,53.047,8.787,412,2540084
DJJ,SENTANI,JAYAPURA,INDONESIA,89,-2.577,140.516,413,2533445
DAR,DAR ES SALAAM,DAR ES SALAAM,TANZANIA,56,-6.878,39.203,418,2496394
GZT,OGUZELI,GAZIANTEP,TURKEY,706,36.948,37.479,419,2480979
HHN,FRANKFURT HAHN,HAHN,GERMANY,503,49.95,7.264,420,2471900
HBA,HOBART,HOBART,AUSTRALIA,4,-42.836,147.51,421,2440792
LAD,LUANDA 4 DE FEVEREIRO,LUANDA,ANGOLA,75,-8.858,13.231,423,2430794
NAT,AUGUSTO SEVERO,NATAL,BRAZIL,52,-5.911,-35.248,424,2403135
ALB,ALBANY INTERNATIONAL,ALBANY,USA,87,42.748,-73.803,426,2393506
LEJ,LEIPZIG HALLE,LEIPZIG,GERMANY,142,51.424,12.236,427,2361534
UTH,UDON THANI,UDON THANI,THAILAND,177,17.386,102.788,428,2350005
DBV,DUBROVNIK,DUBROVNIK,CROATIA,161,42.561,18.268,430,2323065
MZG,MAKUNG,MAKUNG,TAIWAN,32,23.569,119.628,431,2320249
ISG,ISHIGAKI,ISHIGAKI,JAPAN,29,24.344,124.187,432,2308065
RUN,ST DENIS GILLOT,ST.-DENIS,REUNION ISLAND,21,-20.887,55.51,434,2293242
BUR,BURBANK GLENDALE PASADENA,BURBANK,USA,238,34.201,-118.359,435,2282000
IDR,DEVI AHILYABAI HOLKAR,INDORE,INDIA,564,22.722,75.801,436,2256760
SXR,SRINAGAR,SRINAGAR,INDIA,1664,33.987,74.774,438,2227863
MYY,MIRI,MIRI,MALAYSIA,17,4.325,113.988,439,2188048
MRV,MINERALNYYE VODY,MINERALNYE VODY,RUSSIA,321,44.225,43.082,440,2180178
VVO,KNEVICHI,VLADIVOSTOK,RUSSIA,14,43.399,132.151,441,2179000
KRT,KHARTOUM,KHARTOUM,SUDAN,385,15.589,32.553,442,2178097
IGU,CATARATAS INTERNATIONAL,FOZ DO IGUACU,BRAZIL,240,-25.596,-54.487,443,2177298
CJB,COIMBATORE,COIMBATORE,INDIA,403,11.031,77.044,444,2175212
DKR,LEOPOLD SEDAR SENGHOR INTERNATIONAL,DAKAR,SENEGAL,26,14.739,-17.49,445,2114269
ATQ,AMRITSAR,AMRITSAR,INDIA,231,31.707,74.799,446,2087118
DIY,DIYARBAKIR,DIYABAKIR,TURKEY,687,37.894,40.201,447,2071089
ABJ,ABIDJAN FELIX HOUPHOUET BOIGNY INTERNATIONAL,ABIDJAN,IVORY COAST,7,5.26,-3.926,448,2070000
MCZ,ZUMBI DOS PALMARES,MACEIO,BRAZIL,118,-9.51,-35.793,449,2068245
IXE,MANGALORE,MANGALORE,INDIA,102,12.96,74.893,451,2054005
KHV,NOVY,KHABAROVSK,RUSSIA,75,48.528,135.188,452,2051000
IXB,BAGDOGRA,BAGHDOGRA,INDIA,126,26.681,88.328,453,2040765
IKT,IRKUTSK,IRKUTSK,RUSSIA,510,52.267,104.395,455,2010000
DTM,DORTMUND,DORTMUND,GERMANY,130,51.518,7.612,456,2000695
PSP,PALM SPRINGS INTERNATIONAL,PALM SPRINGS,USA,145,33.829,-116.507,457,1998206
KBR,SULTAN ISMAIL PETRA,KOTA BAHRU,MALAYSIA,5,6.166,102.294,458,1988212
NAN,NADI INTERNATIONAL,NANDI,FIJI,18,-17.754,177.443,459,1984898
ASR,ERKILET,KAYSERI,TURKEY,1069,38.77,35.495,460,1980247
NAG,NAGPUR,NAGPUR,INDIA,309,21.092,79.047,461,1976707
SYR,SYRACUSE HANCOCK INTERNATIONAL,SYRACUSE,USA,129,43.111,-76.106,462,1951370
GRO,GIRONA,GERONA,SPAIN,143,41.901,2.76,463,1946816
ILO,ILOILO,ILOILO,PHILIPPINES,9,10.713,122.545,464,1943719
TBZ,TABRIZ INTERNATIONAL,TABRIZ,IRAN,1360,38.133,46.235,465,1942726
YYJ,VICTORIA INTERNATIONAL,VICTORIA,CANADA,20,48.647,-123.426,466,1934842
VNS,VARANASI,VARANASI,INDIA,81,25.452,82.859,467,1916454
PGK,DEPATI AMIR,PANGKAL PINANG,INDONESIA,33,-2.163,106.139,468,1914006
YLW,KELOWNA,KELOWNA,CANADA,430,49.956,-119.378,469,1893470
ZQN,QUEENSTOWN,QUEENSTOWN INTERNATIONAL,NEW ZEALAND,357,-45.021,168.739,470,1892443
ORN,ES SENIA,ORAN,ALGERIA,90,35.624,-0.621,472,1851910
OIT,OITA,OITA,JAPAN,6,33.479,131.737,473,1849834
PDL,PONTA DELGADA,PONTA DELGADA,ACORES,79,37.741,-25.698,474,1849000
KMQ,KOMATSU,KANAZAWA,JAPAN,11,36.394,136.408,475,1844117
SXM,PRINCESS JULIANA INTERNATIONAL,PHILIPSBURG,ANTILLES,4,18.041,-63.109,478,1829543
TAK,TAKAMATSU,TAKAMATSU,JAPAN,186,34.214,134.016,479,1809820
PWM,PORTLAND INTERNATIONAL JETPORT,PORTLAND,USA,23,43.646,-70.309,483,1785649
KGD,KHRABROVO,KALININGRAD,RUSSIA,14,54.89,20.592,484,1780000
CGY,CAGAYAN DE ORO,LADAG,PHILIPPINES,186,8.414,124.611,485,1776353
HKD,HAKODATE,HAKODATE,JAPAN,47,41.77,140.822,487,0
SGC,SURGUT,SURGUT,RUSSIA,61,61.25,73.5,489,1723312
MDZ,EL PLUMERILLO,MENDOZA,ARGENTINA,705,-32.832,-68.793,490,1717419
DRS,DRESDEN,DRESDEN,GERMANY,231,51.133,13.767,493,1706563
LJU,LJUBLJANA,LJUBLIANA,SLOVENIA,389,46.224,14.457,495,1683045
YQB,QUEBEC JEAN LESAGE INTERNATIONAL,QUEBEC,CANADA,75,46.788,-71.398,496,1670880
ZTH,ZAKINTHOS DIONYSIOS SOLOMOS,ZAKYNTHOS,GREECE,5,37.75,20.882,497,1659646
PNS,PENSACOLA RGNL,PENSACOLA,USA,37,30.473,-87.187,498,1650000
PPS,PUERTO PRINCESA,PUERTO PRINCESA,PHILIPPINES,22,9.742,118.759,499,1644003
DJB,SULTAN THAHA,JAMBI,INDONESIA,25,-1.638,103.644,500,1639873
AQP,RODRIGUEZ BALLON,AREQUIPA,PERU,2593,-16.341,-71.583,501,1634090
PLZ,PORT ELIZABETH,PORT ELIZABETH,SOUTH AFRICA,69,-33.985,25.617,503,1620705
KWJ,GWANGJU,KWANGJU,KOREA,15,35.126,126.81,504,1613775
POZ,LAWICA,POZNAN,POLAND,94,52.421,16.826,505,1611074
SLZ,MARECHAL CUNHA MACHADO,SAO LUIS,BRAZIL,55,-2.589,-44.236,506,1601836
NVT,NAVEGANTES ITAJAI,NAVEGANTES,BRAZIL,6,-26.88,-48.651,508,1588921
AGA,INEZGANE,AGADIR,MOROCCO,28,30.381,-9.546,509,1544160
CGR,CAMPO GRANDE,CAMPO GRANDE,BRAZIL,559,-20.469,-54.672,510,1536838
MGA,MANAGUA INTERNATIONAL,MANAGUA,NICARAGUA,60,12.141,-86.168,511,1533034
EBB,ENTEBBE INTERNATIONAL,ENTEBBE,UGANDA,1153,0.042,32.443,512,1530031
SOC,ADI SUMARMO WIRYOKUSUMO,SOLO CITY,INDONESIA,129,-7.516,110.757,513,1525013
KOE,EL TARI,KUPANG,INDONESIA,103,-10.171,123.671,514,1523342
CEK,BALANDINO,CHELYABINSK,RUSSIA,235,55.303,61.507,515,1517000
NST,CHA IAN,NAKHON SI THAMMARAT,THAILAND,14,8.471,99.956,517,1503463
DLA,DOUALA,DOUALA,CAMEROON,11,4.006,9.719,518,1500000
BCD,BACOLOD,BACOLOD,PHILIPPINES,8,10.643,122.929,519,1498741
TSV,TOWNSVILLE,TOWNSVILLE,AUSTRALIA,6,-19.253,146.765,520,1497946
SBW,SIBU,SIBU,MALAYSIA,36,2.264,111.983,521,1497412
HPN,WESTCHESTER CO,WHITE PLAINS,USA,134,41.067,-73.707,522,1468851
YXE,SASKATOON J G DIEFENBAKER INTERNATIONAL,SASKATOON,CANADA,504,52.171,-106.7,523,1462751
OVD,ASTURIAS,AVILES,SPAIN,127,43.563,-6.034,525,1407217
VAN,VAN,VAN,TURKEY,1669,38.468,43.332,526,1394328
OKJ,OKAYAMA,OKAYAMA,JAPAN,246,34.757,133.856,527,1391723
JPA,INTL. PRES. CASTRO PINTO,JOAO PESSOA,BRAZIL,502,-7.27,-35.896,528,1387496
TWU,TAWAU,TAWAU,MALAYSIA,18,4.313,118.122,529,1374893
TRZ,TIRUCHIRAPPALLI,TIRUCHCHIRAPPALLI,INDIA,88,10.765,78.709,531,1359447
DJE,ZARZIS,DJERBA,TUNISIA,6,33.875,10.775,532,1354502
KCZ,KOCHI,KOCHI,JAPAN,10,33.544,133.671,533,1350930
PEE,BOLSHOYE SAVINO,PERM,RUSSIA,124,57.917,56.026,534,1338373
MMY,MIYAKEJIMA,MIYAKE JIMA,JAPAN,21,34.072,139.56,535,1335697
MMY,MIYAKO,MIYAKO,JAPAN,46,24.783,125.295,535,1335697
ITO,HILO INTERNATIONAL,HILO,USA,12,19.72,-155.049,537,1327245
AMQ,PATTIMURA,AMBON,INDONESIA,11,-3.709,128.09,538,1318041
KKJ,KITAKYUSHU,KITAKYUSHU,JAPAN,6,33.836,130.947,539,1317504
MBA,MOI INTERNATIONAL,MOMBASA,KENYA,61,-4.035,39.594,540,1313168
SPC,LA PALMA,SANTA CRUZ DE LA PALMA,SPAIN,33,28.626,-17.756,541,1302485
MDL,MANDALAY INTERNATIONAL,MANDALAY,MYANMAR,92,21.702,95.978,542,1290000
BND,BANDAR ABBASS INTERNATIONAL,BANDAR ABBAS,IRAN,7,27.218,56.378,543,1289063
BRC,SAN CARLOS DE BARILOCHE,SAN CARLOS DE BARILOCH,ARGENTINA,847,-41.151,-71.157,544,1279524
LST,LAUNCESTON,LAUNCESTON,AUSTRALIA,172,-41.545,147.214,545,1272198
AXT,AKITA,AKITA,JAPAN,96,39.616,140.219,547,1238082
AJU,SANTA MARIA,ARACAJU,BRAZIL,8,-10.984,-37.07,548,1225789
PHC,PORT HARCOURT INTERNATIONAL,PORT HARTCOURT,NIGERIA,25,5.015,6.949,549,1223807
YQR,REGINA INTERNATIONAL,REGINA,CANADA,578,50.432,-104.666,550,1219311
MJV,MURCIA SAN JAVIER,MURCIA,SPAIN,4,37.775,-0.812,551,1196605
ROC,GREATER ROCHESTER INTERNATIONAL,ROCHESTER,USA,171,43.119,-77.672,553,1186002
IXA,AGARTALA,AGARTALA,INDIA,15,23.889,91.241,554,1184867
TAC,DANIEL Z ROMUALDEZ,TACLOBAN,PHILIPPINES,4,11.227,125.028,555,1182951
LIR,DANIEL ODUBER QUIROS INTERNATIONAL,LIBERIA,COSTA RICA,83,10.593,-85.544,556,1182123
ASU,SILVIO PETTIROSSI INTERNATIONAL,ASUNCION,PARAGUAY,90,-25.24,-57.519,557,1180111
IXJ,JAMMU,JAMMU,INDIA,314,32.69,74.838,560,1159937
BTV,BURLINGTON INTERNATIONAL,BURLINGTON,USA,103,44.472,-73.153,561,1151000
AKJ,ASAHIKAWA,ASAHIKAWA,JAPAN,220,43.671,142.447,562,1148825
LCG,A CORUNA,LA CORUNA,SPAIN,101,43.302,-8.377,564,1141242
THE,SENADOR PETRONIO PORTELLA,TERESINA,BRAZIL,67,-5.06,-42.823,567,1104451
BDQ,VADODARA,BARODA,INDIA,39,22.336,73.226,568,1103981
UDI,UBERLANDIA,UBERLANDIA,BRAZIL,944,-18.883,-48.226,569,1102569
SLA,SALTA,SALTA,ARGENTINA,1243,-24.856,-65.486,570,1095104
SID,AMILCAR CABRAL INTERNATIONAL,AMILCAR CABRAL,CAPE VERDE ISLANDS,54,16.741,-22.949,571,1093059
UDR,UDAIPUR,UDAIPUR,INDIA,510,24.617,73.913,572,1089899
ERZ,ERZURUM,ERZURUM,TURKEY,1757,39.956,41.17,573,1085117
ZAM,ZAMBOANGA INTERNATIONAL,ZAMBOANGA,PHILIPPINES,11,6.922,122.059,574,1076000
TNG,IBN BATOUTA,TANGER,MOROCCO,19,35.727,-5.917,575,1070247
KYA,KONYA,KONYA,TURKEY,1031,37.979,32.562,576,1067753
MCX,UYTASH,MAKHACHKALA,RUSSIA,4,42.817,47.652,577,1067685
VGO,VIGO,VIGO,SPAIN,261,42.232,-8.627,578,1065595
XRY,JEREZ,JEREZ,SPAIN,29,36.744,-6.06,579,1046251
IXR,BIRSA MUNDA,RANCHI,INDIA,655,23.315,85.321,580,1035740
REU,REUS,REUS,SPAIN,72,41.147,1.167,581,1022964
VOG,GUMRAK,VOLGOGRAD,RUSSIA,147,48.782,44.345,582,1013985
LEI,ALMERIA,ALMERIA,SPAIN,22,36.844,-2.37,583,1007446
TRK,JUWATA,TARAKEN,INDONESIA,7,3.326,117.566,584,1002484
NSN,NELSON,NELSON,NEW ZEALAND,6,-41.298,173.221,585,1000373
TKS,TOKUSHIMA,TOKUSHIMA,JAPAN,8,34.133,134.606,586,1000121
IGR,CATARATAS DEL IGUAZU,IGUAZU FALLS,ARGENTINA,280,-25.738,-54.473,587,998460
AOJ,AOMORI,AOMORI,JAPAN,203,40.734,140.691,588,992696
UUS,KHOMUTOVO,YUZHNO-SAKHALINSK,RUSSIA,18,46.889,142.717,589,985200
IXM,MADURAI,MADURAI,INDIA,141,9.834,78.093,591,978919
DUD,DUNEDIN,DUNEDIN,NEW ZEALAND,2,-45.928,170.198,592,973089
PIE,ST PETERSBURG CLEARWATER INTERNATIONAL,ST. PETERSBURG,USA,4,27.911,-82.687,594,965000
OMS,TSENTRALNY,OMSK,RUSSIA,96,54.967,73.31,595,963600
FMO,MUNSTER OSNABRUCK,MUENSTER/OSNABRUECK,GERMANY,49,52.134,7.685,596,962348
SJJ,SARAJEVO,SARAJEVO,BOSNIA-HERCEGOVINA,521,43.824,18.331,597,957971
EZS,ELAZIG,ELAZIG,TURKEY,893,38.607,39.291,598,955988
TGG,SULTAN MAHMUD,KUALA TERENGGANU,MALAYSIA,7,5.382,103.103,599,943660
SDR,SANTANDER,SANTANDER,SPAIN,5,43.427,-3.82,601,937641
ZNZ,ZANZIBAR,ZANZIBAR,TANZANIA,17,-6.222,39.225,602,934337
IQT,CORONEL FAP FRANCISCO SECADA VIGNETTA,IQUITOS,PERU,94,-3.785,-73.309,603,934031
MKY,MACKAY,MACKAY,AUSTRALIA,6,-21.172,149.18,604,928354
UBJ,YAMAGUCHI UBE,YAMAGUCHI,JAPAN,8,33.93,131.279,605,918238
NQN,PRESIDENTE PERON,NEUQUEN,ARGENTINA,274,-38.949,-68.156,608,907980
YKS,YAKUTSK,YAKUTSK,RUSSIA,100,62.093,129.771,610,902463
GRX,ARMILLA,GRANADA,SPAIN,701,37.133,-3.636,611,901961
GRX,GRANADA,GRANADA,SPAIN,567,37.189,-3.777,611,901961
POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,45,-9.443,147.22,612,900000
IMF,IMPHAL,IMPHAL,INDIA,775,24.76,93.897,615,886338
DED,DEHRADUN,DEHRA DUN,INDIA,551,30.187,78.18,616,882564
LDB,LONDRINA,LONDRINA,BRAZIL,570,-23.334,-51.13,617,880429
BZE,PHILIP S W GOLDSON INTERNATIONAL,BELIZE CITY,BELIZE,5,17.539,-88.308,620,867976
SAP,LA MESA INTERNATIONAL,SAN PEDRO SULA,HONDURAS,28,15.452,-87.923,621,867747
RAO,LEITE LOPES,RIBEIRAO PRETO,BRAZIL,550,-21.134,-47.774,622,867544
MLG,ABDUL RACHMAN SALEH,MALANG,INDONESIA,527,-7.926,112.714,624,859000
BTU,BINTULU,BINTULU,MALAYSIA,2,3.172,113.044,626,849596
PIU,CAPITAN CONCHA,PIURA,PERU,54,-5.206,-80.616,627,849388
MCY,MAROOCHYDORE SUNSHINE COAST,MAROOCHYDORE,AUSTRALIA,5,-26.603,153.091,628,847906
MMK,MURMANSK,MURMANSK,RUSSIA,82,68.782,32.751,629,846440
KER,KERMAN,KERMAN,IRAN,1749,30.261,56.957,630,846317
IZO,IZUMO,IZUMO,JAPAN,5,35.414,132.89,632,832825
FAT,FRESNO YOSEMITE INTERNATIONAL,FRESNO,USA,103,36.776,-119.718,633,805252
AOR,SULTAN ABDUL HALIM,ALOR SETAR,MALAYSIA,5,6.194,100.403,634,802304
TST,TRANG,TRANG,THAILAND,21,7.509,99.616,635,799279
USH,USHUAIA MALVINAS ARGENTINAS,USHUAIA,ARGENTINA,32,-54.843,-68.296,636,795652
PVH,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,PORTO VELHO,BRAZIL,89,-8.709,-63.902,637,794109
JRO,KILIMANJARO INTERNATIONAL,KILIMANJARO,TANZANIA,894,-3.429,37.074,638,780800
FIH,KINSHASA NDJILI INTERNATIONAL,KINSHASA,ZAIRE,314,-4.386,15.444,639,773338
MLX,ERHAC,MALATYA,TURKEY,862,38.436,38.092,640,767701
AZD,YAZD SHAHID SADOOGHI,YAZD,IRAN,1236,31.905,54.276,641,764074
MMB,MEMANBETSU,MEMANBETSU,JAPAN,42,43.881,144.164,642,757103
ROS,ROSARIO,ROSARIO,ARGENTINA,26,-32.903,-60.784,643,747571
BTJ,SULTAN ISKANDARMUDA,BANDA ACEH,INDONESIA,20,5.523,95.42,644,741438
PAD,PADERBORN LIPPSTADT,PADERBORN,GERMANY,214,51.614,8.616,645,738474
TOY,TOYAMA,TOYAMA,JAPAN,29,36.648,137.187,646,736740
BKS,PADANG KEMILING,BENGKULU,INDONESIA,16,-3.864,102.341,648,736315
SJP,SAO JOSE DO RIO PRETO,SAO JOSE DO RIO PRETO,BRAZIL,544,-20.816,-49.406,650,728162
REN,ORENBURG,ORENBURG,RUSSIA,118,51.796,55.457,651,714635
MFE,MC ALLEN MILLER INTERNATIONAL,MCALLEN,USA,33,26.176,-98.239,652,714067
UTP,U TAPHAO INTERNATIONAL,RAYONG,THAILAND,18,12.68,101.005,653,710000
TGU,TONCONTIN INTERNATIONAL,TEGUCIGALPA,HONDURAS,1005,14.061,-87.217,654,697925
TLH,TALLAHASSEE RGNL,TALLAHASSEE,USA,25,30.396,-84.35,656,692724
ACA,GENERAL JUAN N ALVAREZ INTERNATIONAL,ACAPULCO,MEXICO,5,16.757,-99.753,658,685124
NJC,NIZHNEVARTOVSK,NIZHNEVARTOVSK,RUSSIA,0,60.95,76.467,661,680577
AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,1100,35.219,-101.706,662,679653
ASJ,AMAMI,AMAMI,JAPAN,9,28.431,129.712,663,676601
BHO,BHOPAL,BHOPAL,INDIA,524,23.285,77.337,664,676015
PLW,MUTIARA,PALU,INDONESIA,87,-0.918,119.909,666,672698
TPP,TARAPOTO,TARAPOTO,PERU,275,-6.509,-76.373,667,671576
YGJ,MIHO,MIHO,JAPAN,7,35.492,133.236,668,666445
KTA,KARRATHA,KARRATHA,AUSTRALIA,9,-20.712,116.773,669,659913
PKC,YELIZOVO,PETROPAVLOVSK,RUSSIA,40,53.166,158.453,671,658718
MGF,MARINGA,MARINGA,BRAZIL,559,-23.44,-51.907,672,658000
ABD,ABADAN,ABADAN,IRAN,4,30.365,48.233,675,644915
PKY,TJILIK RIWUT,PALANGKARAYA,INDONESIA,25,-2.225,113.943,676,642330
ROK,ROCKHAMPTON,ROCKHAMPTON,AUSTRALIA,11,-23.382,150.475,677,634913
TER,LAJES,LAJES (TERCEIRA ISLAND),ACORES,55,38.764,-27.093,678,631236
PMR,PALMERSTON NORTH,PALMERSTON NORTH,NEW ZEALAND,47,-40.321,175.617,680,630000
BUZ,BUSHEHR,BUSHEHR,IRAN,22,28.945,50.834,682,625976
VGA,VIJAYAWADA,VIJAYAWADA,INDIA,24,16.53,80.797,684,622354
ISP,LONG ISLAND MAC ARTHUR,ISLIP,USA,31,40.795,-73.1,685,620000
CRD,COMODORO RIVADAVIA,COMODORO RIVADAVIA,ARGENTINA,58,-45.785,-67.466,686,618257
HRE,HARARE INTERNATIONAL,HARARE,ZIMBABWE,1490,-17.932,31.093,687,612208
TNR,ANTANANARIVO IVATO,ANTANANARIVO,MADAGASCAR,1280,-18.797,47.479,688,611175
VOZ,CHERTOVITSKOYE,VORONEZH,RUSSIA,157,51.814,39.23,689,606697
OBO,OBIHIRO,OBIHIRO,JAPAN,154,42.733,143.217,690,605703
IOS,ILHEUS,ILHEUS,BRAZIL,5,-14.816,-39.033,691,596351
PUY,PULA,PULA,CROATIA,85,44.893,13.922,692,595812
LBU,LABUAN,LABUAN,MALAYSIA,31,5.301,115.25,693,595290
ZAD,ZADAR,ZADAR,CROATIA,89,44.108,15.347,694,589841
NBC,BEAUFORT MCAS,BEAUFORT,USA,11,32.477,-80.723,695,587775
ASP,ALICE SPRINGS,ALICE SPRINGS,AUSTRALIA,546,-23.807,133.902,696,582755
ASF,ASTRAKHAN,ASTRAKHAN,RUSSIA,-19,46.283,48.006,697,582302
MCP,MACAPA,MACAPA,BRAZIL,18,0.051,-51.072,698,576257
LGP,PAGADIAN,LEGAZPI,PHILIPPINES,2,7.828,123.46,700,564372
